agent_name,seed,step,action_type,score,money,bonds,delivered_goods_count,completed_routes_count,urbanized_city_count
urbanization_aware_lookahead_greedy,0,1,build_track_segments,0,0,1,0,1,8
urbanization_aware_lookahead_greedy,0,2,build_track_segments,0,0,2,0,2,8
urbanization_aware_lookahead_greedy,0,3,build_track_segments,0,2,5,0,3,8
urbanization_aware_lookahead_greedy,0,4,build_track_segments,0,3,7,0,4,8
urbanization_aware_lookahead_greedy,0,5,build_track_segments,0,3,8,0,5,8
urbanization_aware_lookahead_greedy,0,6,upgrade_engine,0,4,11,0,5,8
urbanization_aware_lookahead_greedy,0,7,build_track_segments,0,0,11,0,6,8
urbanization_aware_lookahead_greedy,0,8,build_track_segments,0,4,13,0,7,8
urbanization_aware_lookahead_greedy,0,9,build_track_segments,0,4,18,0,8,8
urbanization_aware_lookahead_greedy,0,10,urbanize,0,4,20,0,8,9
urbanization_aware_lookahead_greedy,0,11,deliver_good,2,4,20,1,8,9
urbanization_aware_lookahead_greedy,0,12,deliver_good,4,3,23,2,8,9
urbanization_aware_lookahead_greedy,0,13,build_track_segments,4,2,24,2,9,9
urbanization_aware_lookahead_greedy,0,14,urbanize,4,2,26,2,9,10
urbanization_aware_lookahead_greedy,0,15,build_track_segments,4,4,32,2,10,10
urbanization_aware_lookahead_greedy,0,16,deliver_good,6,4,32,3,10,10
urbanization_aware_lookahead_greedy,0,17,deliver_good,8,4,32,4,10,10
urbanization_aware_lookahead_greedy,0,18,upgrade_engine,8,3,39,4,10,10
urbanization_aware_lookahead_greedy,0,19,upgrade_engine,8,3,42,4,10,10
urbanization_aware_lookahead_greedy,0,20,deliver_good,12,3,42,5,10,10
urbanization_aware_lookahead_greedy,0,21,deliver_good,16,2,47,6,10,10
urbanization_aware_lookahead_greedy,0,22,deliver_good,20,2,47,7,10,10
urbanization_aware_lookahead_greedy,0,23,deliver_good,24,2,47,8,10,10
urbanization_aware_lookahead_greedy,0,24,deliver_good,27,2,51,9,10,10
urbanization_aware_lookahead_greedy,0,25,deliver_good,30,2,51,10,10,10
urbanization_aware_lookahead_greedy,0,26,build_track_segments,30,0,52,10,11,10
urbanization_aware_lookahead_greedy,0,27,deliver_good,33,1,56,11,11,10
urbanization_aware_lookahead_greedy,0,28,build_track_segments,33,3,58,11,12,10
urbanization_aware_lookahead_greedy,0,29,deliver_good,36,3,58,12,12,10
urbanization_aware_lookahead_greedy,0,30,build_track_segments,36,0,64,12,13,10
urbanization_aware_lookahead_greedy,0,31,deliver_good,39,0,64,13,13,10
urbanization_aware_lookahead_greedy,0,32,build_track_segments,39,2,66,13,14,10
urbanization_aware_lookahead_greedy,0,33,build_track_segments,39,4,74,13,15,10
urbanization_aware_lookahead_greedy,0,34,upgrade_engine,39,4,78,13,15,10
urbanization_aware_lookahead_greedy,0,35,upgrade_engine,39,4,83,13,15,10
urbanization_aware_lookahead_greedy,0,36,upgrade_engine,39,4,99,13,15,10
urbanization_aware_lookahead_greedy,0,37,deliver_good,46,4,99,14,15,10
urbanization_aware_lookahead_greedy,0,38,deliver_good,53,4,99,15,15,10
urbanization_aware_lookahead_greedy,0,39,deliver_good,60,0,106,16,15,10
urbanization_aware_lookahead_greedy,0,40,deliver_good,67,0,106,17,15,10
